environment,condition,seed,final_eval,auc_eval,timesteps_to_threshold,success
CartPole-v1,default,0,500.0,459.58,25000.0,1
CartPole-v1,default,1,500.0,461.3625,20000.0,1
CartPole-v1,default,2,500.0,456.7675,20000.0,1
CartPole-v1,default,3,500.0,459.3375,15000.0,1
CartPole-v1,default,4,500.0,453.0425,20000.0,1
LunarLander-v3,default,0,87.00587225773226,-57.90449885449577,145000.0,1
LunarLander-v3,default,1,238.1648251257911,-104.19199991397252,195000.0,1
LunarLander-v3,default,2,77.51814852592257,-128.94463377937737,,0
LunarLander-v3,default,3,210.23559348291712,-62.848505824972634,200000.0,1
LunarLander-v3,default,4,112.52292302945114,-182.74791074214863,,0
MountainCar-v0,default,0,-200.0,-195.0,,0
MountainCar-v0,default,1,-200.0,-195.0,,0
MountainCar-v0,default,2,-200.0,-195.0,,0
MountainCar-v0,default,3,-200.0,-195.0,,0
MountainCar-v0,default,4,-200.0,-195.0,,0
Blackjack-v1,default,0,0.15,-0.023333333333333334,5000.0,1
Blackjack-v1,default,1,-0.06666666666666667,-0.10916666666666666,20000.0,1
Blackjack-v1,default,2,-0.08333333333333336,-0.08083333333333333,10000.0,1
Blackjack-v1,default,3,-0.11666666666666668,-0.10833333333333334,10000.0,1
Blackjack-v1,default,4,-0.25,-0.065,20000.0,1
CartPole-v1,human,0,500.0,459.6075,25000.0,1
CartPole-v1,human,1,500.0,460.13,15000.0,1
CartPole-v1,human,2,500.0,463.88,20000.0,1
CartPole-v1,human,3,500.0,447.02,25000.0,1
CartPole-v1,human,4,500.0,456.255,20000.0,1
LunarLander-v3,human,0,51.9301246955199,-225.34732092505885,,0
LunarLander-v3,human,1,-44.182530019332376,-196.74405736431459,,0
LunarLander-v3,human,2,-97.78852915949517,-277.9805061298785,,0
LunarLander-v3,human,3,67.99385570440535,-164.43296920361306,,0
LunarLander-v3,human,4,-43.2677703306309,-318.0379443233872,,0
MountainCar-v0,human,0,-200.0,-195.0,,0
MountainCar-v0,human,1,-200.0,-195.0,,0
MountainCar-v0,human,2,-200.0,-195.0,,0
MountainCar-v0,human,3,-200.0,-195.0,,0
MountainCar-v0,human,4,-200.0,-195.0,,0
Blackjack-v1,human,0,0.0,-0.0975,5000.0,1
Blackjack-v1,human,1,-0.06666666666666667,-0.05,15000.0,1
Blackjack-v1,human,2,-0.3,-0.09916666666666667,15000.0,1
Blackjack-v1,human,3,0.016666666666666663,-0.030833333333333334,20000.0,1
Blackjack-v1,human,4,-0.049999999999999996,-0.06333333333333334,5000.0,1
CartPole-v1,llm,0,448.6333333333334,366.5075,70000.0,1
CartPole-v1,llm,1,444.1333333333334,377.52,55000.0,1
CartPole-v1,llm,2,442.8333333333333,363.285,60000.0,1
CartPole-v1,llm,3,479.56666666666666,355.7975,95000.0,1
CartPole-v1,llm,4,437.7,318.3575,85000.0,1
LunarLander-v3,llm,0,71.979266772332,-112.71215735460699,,0
LunarLander-v3,llm,1,156.0475056144573,-292.68327033247266,,0
LunarLander-v3,llm,2,104.08592657620768,-303.69043827177705,,0
LunarLander-v3,llm,3,47.211937278508344,-82.77716343489212,,0
LunarLander-v3,llm,4,141.99823434798165,-328.3157330222298,,0
MountainCar-v0,llm,0,-200.0,-195.0,,0
MountainCar-v0,llm,1,-200.0,-195.0,,0
MountainCar-v0,llm,2,-200.0,-195.0,,0
MountainCar-v0,llm,3,-200.0,-195.0,,0
MountainCar-v0,llm,4,-200.0,-195.0,,0
Blackjack-v1,llm,0,-0.2333333333333333,-0.18916666666666668,20000.0,1
Blackjack-v1,llm,1,-0.19999999999999998,-0.21166666666666667,20000.0,1
Blackjack-v1,llm,2,-0.09999999999999999,-0.11833333333333333,20000.0,1
Blackjack-v1,llm,3,-0.16666666666666666,-0.12666666666666668,25000.0,1
Blackjack-v1,llm,4,-0.11666666666666665,-0.19916666666666666,95000.0,1
