environment,condition,threshold,n_seeds,final_eval_mean,final_eval_std,sample_efficiency_median_steps,success_rate
CartPole-v1,random,475.0,5,21.71,0.5989073384088736,,0.0
CartPole-v1,default,475.0,5,500.0,0.0,20000.0,1.0
CartPole-v1,human,475.0,5,500.0,0.0,20000.0,1.0
CartPole-v1,llm,475.0,5,450.5733333333334,14.909600188394647,70000.0,1.0
LunarLander-v3,random,200.0,5,-187.04182358426934,8.044638022281362,,0.0
LunarLander-v3,default,200.0,5,145.08947248436283,66.19245716948002,195000.0,0.6
LunarLander-v3,human,200.0,5,-13.062969821906638,63.013472694455416,,0.0
LunarLander-v3,llm,200.0,5,104.26457411789738,40.99433488765451,,0.0
MountainCar-v0,random,-110.0,5,-200.0,0.0,,0.0
MountainCar-v0,default,-110.0,5,-200.0,0.0,,0.0
MountainCar-v0,human,-110.0,5,-200.0,0.0,,0.0
MountainCar-v0,llm,-110.0,5,-200.0,0.0,,0.0
Blackjack-v1,random,0.05,5,-0.39899999999999997,0.05651548460377918,,0.0
Blackjack-v1,default,0.05,5,-0.07333333333333333,0.12892719737209143,10000.0,1.0
Blackjack-v1,human,0.05,5,-0.07999999999999999,0.11421227799341208,15000.0,1.0
Blackjack-v1,llm,0.05,5,-0.16333333333333333,0.049888765156985884,20000.0,1.0
